Date,Time,Location,Operator,Flight,Route,ACType,Registration,cn/ln,Aboard,AboardPassangers,AboardCrew,Fatalities,FatalitiesPassangers,FatalitiesCrew,Ground,Summary
11/29/1938,5:30,"OffPointReyes,California",UnitedAirLines,6,"Seattle,WA-Medford,OR-Oakland,CA",DouglasDC3-A-SB-3-G-14,NC16066,1907,7,4,3,5,3,2,0,"Theaircraftranoutoffuelandditchedintotheoceanalittlelessthanamileoffshore.FailureofthepilottodefinitelyestablishthepositionoftheaircraftthroughstandardorientationprocedureswithinareasonabletimeafterintersectingalegoftheOaklandradiorangeandofCompanyflightdispatchers,chargedwiththeresponsibilitiesofdirectingtheoperationofthetrip,toproperlysafeguardtheflight,resultinginforcedlandingoftheaircraftatseaduetoexhaustedfuelsupply."
1/13/1939,21:15,"MilesCity,Montana",NorthwestOrientAirlines,1,Chicago-Seattle,Lockheed14-HSuperElectra,NC17389,1408,4,2,2,4,2,2,0,"Theaircraftcrashed2,650feetpasttherunwayboundryaftertakingoff.Afireofconsiderableintensitydeveloped,priortothecrash,inthecockpitoftheaircraft,intheimmediatevicinityofthegasolinecross-feedvalve.Itwasnotpossibletodeterminetheexactoriginandsourceofthefire."
3/26/1939,14:48,"OklahomaCity,Oklahoma",BraniffAirlines,1,Chicago-KansasCity-Wichita-OklahomaCity-Dallas,DouglasDC-2-112,NC13727,1253,12,9,3,8,7,1,0,"Anexplosioninanengine,justaftertakeoffblewthetwohalvesofthecowlopencreatingexcessivedragandcausingtheleftwingtodrop.Thecaptaintriedtocircleback,butthewingimpactedanembankmentalongasectionlineroadandcrashedabout100yardsinsidetheboundary.Eitherthehotmetaloftheenginesorsomeothersourceignitedthefuelspillingoutoftherupturedtankandthecabinwasquicklyengulfedinflames.Theinitialcauseoftheexplosionwasacylinderblowoutwhichwasaproblemwiththatparticularengineandhadcausedproblemsintwootheraircraft,aTWAandUnitedDC-2,bothofwhichlandedsafely."
8/31/1940,14:41,"NearLovettsville,Virginia",PennsylvaniaCentralAirlines,19,WashingtonD.C.-Detroit,DouglasDC-3,NC21789,2188,25,21,4,25,21,4,0,"TheaircraftwasflyingthroughathunderstorminturbulencewhentheitnosedoverandplungedtoearthnearShortHillMountain.Disablingofthepilotsbyaseverelightningdischargeintheimmediateneighborhoodoftheairplane,withresultinglossofcontrol.Withlimitedaccidentinvestigationtoolsatthetime,themostlikelycausewastheplaneflyingintowindshear.U.S.SenatorErnestLundeenfromMinnesotakilled."
11-04-1940,4:42,"NearCenterville,Utah",UnitedAirLines,16,Oakland-SaltLakeCity,DouglasDC-3,NC16086,1925,10,8,2,10,8,2,0,"TheaircraftcrashedintoBountifulPeakintheWasatchMountains,duringasnowstorm,3nmNEofCenterville.ThefailureofthecommunicationsoperatorsatTintic,Plymouth,andSaltLakeCity,Utah,whosedutyitwastomonitortherange,todetectitsmalfunctioningandimmediatelynotifythoseconcernedandthefailureofthepilottofollowtothefullestextentestablishedradiorangetechniqueinaccordancewiththerequirementsoftheprocedureestablishedbyUnitedandapprovedbytheCivilAeronauticsAdministration."
12-04-1940,17:48,"Chicago,Illinois",UnitedAirLines,21,NewYorkCity-Chicago,DouglasDC-3A,NC25678,2175,16,13,3,10,7,3,0,TheaircraftcrashedwhileattemptingtolandatChicago.Thefailureofthepilottoexercisethatdegreeofcautionandskillrequiredtoavertastallwhileapproachingforalandingontheshortnorthwestrunway.Asubstantialcontributingfactortotheaccidentwastheerrorinjudgmentofthepilotinchoosingthatshortrunwayforhislanding.Anaccumulationoficeonthewingsmayhaveincreasedthestallingspeedoftheplane.
1/23/1941,4:13,"NearRobertson,Missouri",TransContinentalandWesternAir,6,"KansasCity,MO-NewYork",DouglasDC-3-3,NC17315,1930,13,10,3,2,1,1,0,"Shortlyafterpassingoverthewestboundaryoftheairport,thepilotstartedaleftturn.Whileintheturn,theplanecontractedtrees113feetabovetheleveloftheairport.Fullpowerwasappliedtotheenginesinanattempttopullupbutothertreeswerestruckandthepilotlostcontrol.Theaircraftcrashedtothegroundatapointapproximatelyone-fourthofamilesouthwestoftheairportboundary.TheactionofthepilotinattemptingalandingunderadverseweatherconditionsindisregardoftheminimumsprescribedbytheCivilAeronauticsAdministrationandinmaneuveringforsuchalandingatadangerouslylowaltitude."
02-06-1941,2:00,"Armstrong,ON,Canada",TransCanadaAirLines,3,Toronto-Winnipeg,Lockheed14-H2SuperElectra,CF-TCP,1501,12,9,3,12,9,3,0,Theplanecrashedaftertherightwingstruckatreeasthepilotwasattemptingtolandinadverseweather.Struckseveralothertreesandlandedinvertedinaswamp.
2/26/1941,11:50,"Atlanta,Georgia",EasternAirLines,21,NewYorkCity-WashingtonD.C.-Atlanta-Brownsville,DouglasDC-3,NC28394,3204,16,13,3,9,6,3,0,"Theaircraftcrashedintoahillinpinewoods,nearChandlerField,whileattemptingtomakeaninstrumentlandingapproachinrainandfog.Thefailureofthecaptaininchargeoftheflighttoexercisetheproperdegreeoffarebynotcheckinghisaltimeterstodeterminewhetherbothwerecorrectlysetandproperlyfunctioningbeforecommencinghislandingapproach.AsubstantialcontributingfactorwastheabsenceofanestablisheduniformcockpitprocedureonEasternAirLinesbywhichboththecaptainandco-pilotarerequiredtomakeacompletecheckofthecontrolsandinstrumentsduringlandingoperations.CaptainEdwardRickenbacker,PresidentofEasternAirLines,survivedthecrash."
10-03-1941,17:48,"SanJuan,PuertoRico",PanAmericanWorldAirways,203,Miami-BuenosAires,SikorskyS-42B(flyingboat),NC15376,4206,15,9,6,2,2,0,0,"Followingtheapproach,theaircraftcontactedthewaterinanundulynose-lowattitudewhilemovingsidewaysrelativetothewater.Almostimmediatelyafterfirstcontactwiththewater,theaircraftswervedviolentlytotherightandbrokeintoseveralmajorsections.Thefailureofthecaptaintoexerciserequisitecautionandskillinlanding.Acontributingfactorwasthesmoothsurfaceofthewater,whichrendereddifficult,thecaptain'sdepthperceptionaswellastheexactdeterminationofanylateralmovementoftheaircraft."
10/30/1941,2:04,"NearMoorhead,Minnesota",NorthwestOrientAirlines,5,Minneapolis-Fargo,DouglasDC-3,NC21712,2124,15,13,2,14,13,1,0,"Crashedinfogandmistduetoicingonthewings.Thepilot,ClarenceBates,wasthrownclearofthewreckageandwasthelonesurvivor.Accumulationoficeonthewingsandothersurfacesoftheairplane,increasingthestallingspeedandthedragoftheairplaneonthepowerrequiredtomaintainflight.ActionofthecaptainindescendingtoattemptalandingatFargowithknownicingconditionsandcriticalceilingconditionsinsteadofproceedingtoanavailablealternate."
10/30/1941,22:10,"St.Thomas,Ontario,Canada",AmericanAirlines,1,NewYork-Buffalo-Chicago-Detroit,DouglasDC-3,NC25663,2207,20,17,3,20,17,3,0,"Theaircraft,onaflightfromNewYorktoChicago,circledawoodedarea3or4timeslookingforalandingspotbeforestallinganddivingintoaplowedfield.Causeunknown."
05-01-1942,23:00,"SaltLakeCity,Utah",UnitedAirLines,4,SanFrancisco-NewYorkCity,DouglasDST-A-207A,NC18146,1978,17,14,3,17,14,3,0,"AftertakingofffromSaltLake,theaircraftproceededinthewrongdirectionandcrashedintothesideofahill3.8milesnortheastoftheSaltLakeCityAirport.Thepointofimpactwasatanelevationof5,053feetabovesealevelandabout830feetabovetheairport.Adeviationfromthepropercourse,forreasonsundetermined."
05-12-1942,11:51,"MilesCity,Montana",NorthwestOrientAirlines,1,Chicago-Seattle,DouglasDC-3-A-269,NC21714,2129,14,10,4,3,0,3,0,"Theplanehitanobstructionattheendoftherunway,overrantherunwayboundryandcrashed.Thefailureofthecaptaintocompletethelandingrunintimetoavoidtheobstructionattheendoftherunway,forreasonsundetermined,andhisactioninattemptingtotakeoffafterstrikingtheobstruction."
10-03-1942,19:05,"Botwood,Newfoundland",AmericanExportAirlines,71,"NewYork-Botwood-Foynes,Ireland",Sirkorsky44A(flyingboat),NC41880,4401,37,26,11,11,6,5,0,"Whileattemptingtotakeoff,aircraftporpoised,attainedaheightof35ft.andthencrashedintothewaterandbrokeup.Inadvertentactuationofthewingflapstothefull35degreespositionduringthetake-offrun,therebyrenderingtheaircraftexcessivelynose-heavyanduncontrollable."
10/23/1942,17:15,"PalmSprings,California",AmericanAirlines/Military-USAF,28,PalmSprings-NewYorkCity,DouglasDC-3/LockheedB-34,NC16017,1555,13,10,3,12,10,2,0,"MidaircollisionbetweenanArmybomberandairlineroverChinoCanyonnearPalmSpringsat9,000feetdestroyingtherudderoftheDC-3.All12aboardtheDC-3werekilled.TheLockheedB-34landedsafelywithminordamage.Therecklessandirresponsibleconductofthebomberpilot,WilliamWilson,indeliberatelymaneuveringabomberindangerousproximitytoanairlinerinanunjustifiableattempttoattracttheattentionofthefirstofficer,hisfriendaboardtheairliner.ComposerandsongwriterRalphRainger,41,killed."
12/15/1942,1:22,"Fairfield,Utah",WesternAirlines,1,SaltLake-LasVegas-Burbank,DouglasDC-3A,NC16060,1900,19,15,4,17,13,4,0,"Crashedafterperformingaviolentmaneuver.Failureoftheleft,orpossiblybothwingtipsandofthehorizontaltailsurfacesasaresultofaseverpull-upwhichcausedunusualandabnormallyhighairloads.Thereasonthepull-upmaneuverwasnotdetermined."
1/21/1943,7:30,"Ukiah,California",PanAmericanWorldAirways,V-1104,Honolulu-SanFrancisco,MartinM-130(flyingboat),NC14715,557,19,10,9,19,10,9,0,"Flewintoa2,500ft.mountainwhilecirclinginbadweather,afterbeingunabletolandindarknessanddecidingwhethertodiverttoSanDiego.Clippedtrees,struckthegroundandbrokeup.Failureofthecaptaintodeterminehispositionaccuratelybeforedescendingtoadangerouslylowaltitudeunderextremelypoorweatherconditionsduringthehoursofdarkness.TheaircraftwasnamedPhilippineClipper."
1/22/1943,15:15,"NearChaparra,Peru",PanAmericanGraceAirlines,9,SSantiagodeChile-Arequipa-Lima,DouglasDC-3A,NC33645,4124,15,11,4,14,10,4,0,"TheaircraftcrashedintotheMt.ChaparraintheAndesmountainswhileenroute.Actionofthepilotincontinuingtheflightoninstrumentsintheovercast,contrarytocompanyflightprocedureofwhich,accordingtotheevidence,thepilotwasaware."
2/22/1943,6:47,"Lisbon,Portugal",PanAmericanWorldAirways,9035,NewYork-Hamilton-Horta-Lisbon-Marseille,BoeingB-314(flyingboat),NC18603,1990,39,33,6,25,20,5,0,"CrashedintotheTagusRiverinpoorweatherwhileattemptingtoland.Inadvertentcontactoftheleftwingtipoftheaircraftwiththewaterwhilemakingadescendingturnpreparatorytolanding.TheaircraftwasnamedtheYankeeClipper.NovelistBenRobertsonandsinger,actressTamaraDrasin,34,amongthosekilled.ActressJaneFromanseriouslyinjured.Shelaterdivorcedherhusbandandmarriedtheco-pilot,whohadsavedherlifedespitehisownseriousinjury,buttheytoodivorced."
06-01-1943,11:00,OffthecoastofFrance,BritishOverseasAirways,777,Lisbon-Bristol,DouglasDC-3,G-AGBB,1590,17,13,4,17,13,4,0,"ShotdownbytheGermanAirForceovertheBayofBiscay.Thelastmessagereceivedfromtheplanewasitwasbeingattackedbyanenemyaircraft.TheaircrafthadaDutchcrew.BritishactorLeslieHoward,42,killed.IthasbeenspeculatedthattheplanewasattackedbecausetheGermansbelievedthatBritishPrimeMinisterWinstonChurchillwasaboard.Othertheoriessuggesttheplanewastargetedbecauseseveralpassengers,includingHoward,wereBritishspies."
7/28/1943,22:43,"Trammel,Kentucky",AmericanAirlines,63,Cleveland-Memphis,DouglasDC-3,NC16014,1552,22,18,4,20,16,4,0,"Theaircraftcrashedintotreeswhileattemptingtolandinstrongturbulenceandviolentdowndrafts.Therewasevidencethatmostoftheoccupantsinthecabinwerevictimsofsuffocationorfire,orboth,becauseoftheirinabilitytoeffectanexitfromtheaircraft.Lossofcontroloftheaircraftduetounusuallysevereturbulenceandviolentdowndraftcausedbyathunderstormofunknownandunpredictableintensity."
10/15/1943,23:17,"NearCenterville,Tennessee",AmericanAirlines,63,Nashville-Memphis,DouglasDC3-G102,NC16088,1588,15,11,4,15,11,4,0,"Theaircraftstruckthegroundnose-firstinaverticalattitudewhileenrouteandwascompletelydemolishedbytheimpact.Inabilityoftheaircrafttogainormaintainaltitudeduetocarburetorice,propellericeorwingiceorsomecombinationoftheseicingconditions,whileoverterrainandinweatherunsuitableforanemergencylanding.Weatherconditionswhich,hadtheirnaturebeenanticipated,shouldhaveprecludedthedispatchoftheflightinanaircraftnotequippedwithwingorpropellerdeicingequipment."
02-10-1944,23:36,"Memphis,Tennessee",AmericanAirlines,2,LittleRock-Memphis,DouglasDC-3,NC21767,2166,24,21,3,24,21,3,0,"Theaircraftcrashedintoariverandsank,18milessouthwestofMemphis,inasnowstorm,whileenroutefromLittleRock.Causeundetermined."
08-08-1944,13:20,"OffAntilla,Cuba",PanAmericanWorldAirways,218,SanJuan-Antilla-Miami,SikorskyS-42(flyingboat),NC823M,4201,31,26,5,17,17,0,0,Crashedduringthethirdattempttoliftfromthewaterandsankintotheocean.Lossofcontrolduetothecaptain'sinexperienceinhandlingtheparticulartypeofaircraft.Theaircraftwasnamed"HongKongClipper."
11-04-1944,17:15,"Hanford,California",TransContinentalandWesternAir,8,SanFrancisco-NewYorkCity,DouglasDC-3,NC28310,2251,24,21,3,24,21,3,0,"Thewingseparatedfromtheaircraftafterenteringathunderstormandencounteringsevereturbulence.Thefailureoftheairplane'sstructureasaresultofsevereturbulence,animportantcontributingcausewasthefactthattheairplanewasundoubtedlyinanabnormalattitudeofflight,i.e.,inverted,attheinstantofstructuralfailure.Thecauseoftheairplanebecominginvertedwasnotdetermined."
12-01-1944,0:54,"VanNuys,California",TransContinentalandWesternAir,13,SanFrancisco-Burbank-NewYorkCity,DouglasDC-3,NC17322,1965,17,14,3,9,6,3,0,Theplanecrashedandburned6.5mileswestnorthwestoftheBubankAirportindensefog.Thepilot'sdeviationfromthestandardinstrumentapproachprocedureanddescentbelowtheestablishedsafeminimumaltitude.Acontributingfactorwasthecompany'sfailuretoenforceadherencetocompanyprocedures.
01-10-1945,4:10,"Burbank,California",AmericanAirlines,6001,"NewYorkCity-Juarez,Mexico-Burbank",DouglasDC-3,NC25684,2215,24,21,3,24,21,3,0,"Theaircraft,lostinfog,crashedintotheVerdugoMountains,whileattemptingtoreachPalmdaleAirport,itsalternatelandingsite,afterbeingunabletolandatBurbankAirport.Thecompanygroundpersonnelfailedtoobtainandtransmitimportantweathertothepilot.Improperlyexecutedmissedapproachbythepilot.ActressDonnaReedwasreturningfromJuarezwheresheobtainedadivorcefromherhusbandbutwasbumpedfromtheflightjustpriortotakeofftomakeroomforamilitaryofficerholdingawartime-travelprioritypass."
2/23/1945,2:25,"Marion,Virginia",AmericanAirlines,9,NewYorkCity-LosAngeles,DouglasDC-3,NC18142,2138,22,19,3,17,15,2,0,"TheaircraftflewintothesummitofGlademountainat3,900ft.,inheavyrainandturbulencewhileenroute.Thepilot'sfailuretoproperlyplantheflightandremainatasafeinstrumentaltitudeunderexistingconditions.Acontributingcauseoftheaccidentwasthecompany'slaxityindispatchingandsupervisingtheflight."
4/14/1945,16:58,"Morgantown,WestVirginia",PennsylvaniaCentralAirlines,142,Pittsburgh-Morgantown,DouglasDC-3,NC25692,2262,20,17,3,20,17,3,0,"TheaircraftcrashedagainsttheslopeofCheatMountainat2,100ft.,7mileseastnortheastofMorgantown.Theactionofthepilotincontinuingflightovermountainousterrainunderinstrumentconditions,belowtheminimumauthorizedinstrumentaltitude."
07-12-1945,14:36,"NearFlorence,SouthCarolina",EasternAirLines/Military-U.S.ArmyAirCorps,45,Boston-NY-WashingtonDC-Jacksonville-Miami,DouglasDC-3-201C/ArmyA-26,NC25647,2235,10,4,6,3,1,2,0,"Afterdeviatingoffcourse8milestoavoidmilitarytraffic,thetwoplanescollidedat3,000ft.Thecommercialpilotlandedtheplaneinacornfield.TwooccupantsoftheA-26(33-35553)werekilledandoneparachutedsafely.OneinfantwaskilledontheDC-3.Lackofvigilanceonthepartofthepilotsofbothaircraft,resultinginthefailureofeachpilottoseetheotheraircraftintimetoavoidacollision."
